RA Period,Wellfield,Date,WF_Pumpage,PctOfWFMax,PctOfWFMax_RA,C1gt80,C2gt85
RA First SixYrs,EDW,2009-10-01,11.462904109589044,70.02408292067942,70.21810785228548,0,0
RA First SixYrs,EDW,2010-10-01,10.62156164383561,64.88452718302618,65.06431127192654,0,0
RA First SixYrs,EDW,2011-10-01,13.856120218579242,84.64365590679974,84.87818921110315,1,0
RA First SixYrs,EDW,2012-10-01,9.990109589041095,61.02714072819438,61.196236649369304,0,0
RA Last SixYrs,EDW,2013-10-01,7.723890410958906,47.18336099093629,52.18197668930365,0,0
RA Last SixYrs,EDW,2014-10-01,10.423698630136983,63.67583033398092,70.42166188199539,0,0
RA Last SixYrs,EDW,2015-10-01,11.325054644808748,69.18199419167472,76.5111499565066,0,0
RA Last SixYrs,EDW,2016-10-01,13.543013698630157,82.73096461091954,91.49550129843225,1,1
RA Last SixYrs,EDW,2017-10-01,11.480438356164381,70.13119535260807,77.56090969835286,0,0
RA Last SixYrs,EDW,2018-10-01,14.80183561643835,90.42080040752465,100.0,1,1
RA Extended Period,EDW,2019-10-01,16.36994535519127,100.0,100.0,1,1
RA Extended Period,EDW,2020-10-01,12.377671232876706,75.61217196703393,75.61217196703393,0,0
RA Extended Period,EDW,2021-10-01,11.432739726027389,69.83981606512704,69.83981606512704,0,0
RA Extended Period,EDW,2022-10-01,12.36517808219178,75.53585435928478,75.53585435928478,0,0
RA First SixYrs,MRB,2007-10-01,6.535054644808748,62.758367941022144,62.758367941022144,0,0
RA First SixYrs,MRB,2008-10-01,10.41304109589041,100.0,100.0,1,1
RA First SixYrs,MRB,2009-10-01,4.2539068493150705,40.851724391963735,40.851724391963735,0,0
RA First SixYrs,MRB,2010-10-01,8.597095890410959,82.56085624980267,82.56085624980267,1,0
RA First SixYrs,MRB,2011-10-01,8.369234972677596,80.37262981686091,80.37262981686091,1,0
RA First SixYrs,MRB,2012-10-01,7.575835616438353,72.75334406802848,72.75334406802848,0,0
RA Last SixYrs,MRB,2013-10-01,7.628356164383563,73.25771687767711,93.1264340136327,0,1
RA Last SixYrs,MRB,2014-10-01,5.273315068493149,50.641450657236966,64.37625842012665,0,0
RA Last SixYrs,MRB,2015-10-01,5.647240437158471,54.232384038004035,68.94111294718954,0,0
RA Last SixYrs,MRB,2016-10-01,8.191397260273977,78.6647933571181,100.0,0,1
RA Last SixYrs,MRB,2017-10-01,7.769643835616439,74.61455077405572,94.8512639387797,0,1
RA Last SixYrs,MRB,2018-10-01,8.12216438356164,77.99992633052335,99.15480992421041,0,1
RA Extended Period,MRB,2019-10-01,6.970683060109292,66.94185681126648,91.58942658732349,0,1
RA Extended Period,MRB,2020-10-01,7.46153424657534,71.65566886622673,98.03883453206339,0,1
RA Extended Period,MRB,2021-10-01,4.855424657534249,46.62830591776384,63.796554281230065,0,0
RA Extended Period,MRB,2022-10-01,7.6107945205479375,73.0890663972468,100.0,0,1
RA First SixYrs,NWH,2007-10-01,7.819480874316942,85.893191982981,93.99776439966551,1,1
RA First SixYrs,NWH,2008-10-01,6.740630136986297,74.04254166591421,81.02892937596327,0,0
RA First SixYrs,NWH,2009-10-01,7.256328767123284,79.70724014854666,87.22812841692021,0,1
RA First SixYrs,NWH,2010-10-01,8.318794520547945,91.37790939130743,100.0,1,1
RA First SixYrs,NWH,2011-10-01,3.608480874316941,39.63740630437885,43.37744928551567,0,0
RA First SixYrs,NWH,2012-10-01,2.953835616438352,32.44644673564333,35.50797665625942,0,0
RA Last SixYrs,NWH,2013-10-01,2.4779178082191784,27.21872122207977,69.23306567052214,0,0
RA Last SixYrs,NWH,2014-10-01,3.5790958904109598,39.31462655664096,100.0,0,1
RA Last SixYrs,NWH,2015-10-01,2.3762841530054657,26.102324980498565,66.3934196167238,0,0
RA Last SixYrs,NWH,2016-10-01,0.9791780821917806,10.755794706969288,27.358252256252047,0,0
RA Last SixYrs,NWH,2017-10-01,1.1782739726027407,12.94276617131026,32.92099481770098,0,0
RA Last SixYrs,NWH,2018-10-01,0.8392328767123286,9.218564730382857,23.448180836975734,0,0
RA Extended Period,NWH,2019-10-01,5.019262295081968,55.134153641890336,98.45763424596372,0,1
RA Extended Period,NWH,2020-10-01,5.097890410958898,55.99784522971165,100.0,0,1
RA Extended Period,NWH,2021-10-01,3.3344657534246602,36.62748355332456,65.4087374310084,0,0
RA Extended Period,NWH,2022-10-01,2.8287123287671223,31.072028312959294,55.48789991025033,0,0
RA First SixYrs,S21,2007-10-01,4.500683060109289,64.10303772783419,100.0,0,1
RA First SixYrs,S21,2008-10-01,2.978136986301369,42.41747864531908,66.17077778031879,0,0
RA First SixYrs,S21,2009-10-01,1.353260273972603,19.2744286232718,30.06788649409457,0,0
RA First SixYrs,S21,2010-10-01,1.49290410958904,21.26336984473221,33.17061187491812,0,0
RA First SixYrs,S21,2011-10-01,1.2377049180327861,17.628578595057746,27.500379420245853,0,0
RA First SixYrs,S21,2012-10-01,2.5365479452054784,36.127944682694164,56.35917729216605,0,0
RA Last SixYrs,S21,2013-10-01,1.1146301369863012,15.875629714321368,15.875629714321368,0,0
RA Last SixYrs,S21,2014-10-01,3.0030410958904112,42.77218682077672,42.77218682077672,0,0
RA Last SixYrs,S21,2015-10-01,0.01639344262295082,0.23349110721930807,0.23349110721930807,0,0
RA Last SixYrs,S21,2016-10-01,5.3846027397260245,76.6926681937197,76.6926681937197,0,0
RA Last SixYrs,S21,2017-10-01,7.021013698630146,100.0,100.0,1,1
RA Last SixYrs,S21,2018-10-01,2.875232876712327,40.95181978171197,40.95181978171197,0,0
RA Extended Period,S21,2019-10-01,4.535136612021857,64.59375820484009,79.56418263908867,0,0
RA Extended Period,S21,2020-10-01,5.699972602739733,81.1844677621387,100.0,1,1
RA Extended Period,S21,2021-10-01,3.9468767123287782,56.21519743080468,69.24378391628908,0,0
RA Extended Period,S21,2022-10-01,4.9148767123287715,70.00238032989029,86.22632168383407,0,1
RA First SixYrs,SPC,2007-10-01,6.867459016393446,63.757895672194074,100.0,0,1
RA First SixYrs,SPC,2008-10-01,4.129945205479451,38.34265554614432,60.13789373363247,0,0
RA First SixYrs,SPC,2009-10-01,6.08767123287671,56.51829977082363,88.64517747167781,0,1
RA First SixYrs,SPC,2010-10-01,4.177123287671234,38.780659651478985,60.82487391187834,0,0
RA First SixYrs,SPC,2011-10-01,2.4925683060109303,23.141151571651054,36.29535028983605,0,0
RA First SixYrs,SPC,2012-10-01,5.225589041095887,48.514677715968816,76.09203096256972,0,0
RA Last SixYrs,SPC,2013-10-01,4.419397260273974,41.02994554199831,62.471873559790794,0,0
RA Last SixYrs,SPC,2014-10-01,5.054383561643835,46.925195919083706,71.44793558706326,0,0
RA Last SixYrs,SPC,2015-10-01,2.9035792349726783,26.95700134466314,41.04451900456718,0,0
RA Last SixYrs,SPC,2016-10-01,5.515698630136983,51.20807229865672,77.9690096007498,0,0
RA Last SixYrs,SPC,2017-10-01,7.074219178082185,65.67746924178483,100.0,0,1
RA Last SixYrs,SPC,2018-10-01,3.9501369863013687,36.67330540484856,55.838487426851934,0,0
RA Extended Period,SPC,2019-10-01,3.8917213114754134,36.130970824870246,36.25611370092465,0,0
RA Extended Period,SPC,2020-10-01,5.206575342465755,48.33815341335432,48.50557696725292,0,0
RA Extended Period,SPC,2021-10-01,10.401917808219187,96.57202013496234,96.90650603639722,1,1
RA Extended Period,SPC,2022-10-01,10.733972602739717,99.65483648609802,100.0,1,1
RA First SixYrs,STK,2007-10-01,5.203961748633876,42.31362736332311,100.0,0,1
RA First SixYrs,STK,2008-10-01,4.2639452054794535,34.67031412551211,81.93652089389028,0,0
RA First SixYrs,STK,2009-10-01,3.290246575342469,26.753130450860702,63.22580246110018,0,0
RA First SixYrs,STK,2010-10-01,4.110958904109588,33.42637620656855,78.99671639955427,0,0
RA First SixYrs,STK,2011-10-01,4.154617486338799,33.781365937256474,79.8356653453391,0,0
RA First SixYrs,STK,2012-10-01,4.430164383561646,36.021849110152246,85.13061005347772,0,1
RA Last SixYrs,STK,2013-10-01,4.249205479452053,34.55046480595771,85.74714168822834,0,1
RA Last SixYrs,STK,2014-10-01,4.069178082191782,33.08665462232987,82.11426612707048,0,0
RA Last SixYrs,STK,2015-10-01,4.0843715846994515,33.21019361713935,82.42086448259023,0,0
RA Last SixYrs,STK,2016-10-01,3.8740547945205486,31.50009913187214,78.17676198058336,0,0
RA Last SixYrs,STK,2017-10-01,4.887726027397258,39.74230168613289,98.63221212322244,0,1
RA Last SixYrs,STK,2018-10-01,4.9555068493150705,40.29343034148148,100.0,0,1
RA Extended Period,STK,2019-10-01,4.943907103825136,40.19911233303353,94.96006382656284,0,1
RA Extended Period,STK,2020-10-01,5.2063013698630165,42.332650919921534,100.0,0,1
RA Extended Period,STK,2021-10-01,5.011506849315072,40.748768648487335,96.25848550228913,0,1
RA Extended Period,STK,2022-10-01,5.054876712328764,41.101410791339646,97.09151186654728,0,1
