Date,Wellfield,WF_Pumpage,StdPumpage
2006-10-01,CBR,15.602876712328763,4.81186145455533
2007-10-01,CBR,16.20527322404373,6.111897833784782
2008-10-01,CBR,15.61232876712329,3.983831857049367
2009-10-01,CBR,13.947972602739728,5.146458160002261
2010-10-01,CBR,12.13473972602739,3.217394644344409
2011-10-01,CBR,14.692076502732236,4.289003659202437
2012-10-01,CBR,13.187780821917798,2.9979748212338886
2013-10-01,CBR,13.97610958904109,3.7314574074430618
2014-10-01,CBR,13.717452054794526,2.880951999635832
2015-10-01,CBR,14.68606557377049,3.61130384165943
2016-10-01,CBR,14.3868493150685,4.1505577795131945
2017-10-01,CBR,11.804520547945211,3.2929837338107886
2018-10-01,CBR,13.634109589041085,3.825634701206922
2019-10-01,CBR,11.015819672131144,4.316973668562739
2020-10-01,CBR,10.567178082191788,4.493753904895098
2021-10-01,CBR,10.342109589041094,3.064130245890588
2022-10-01,CBR,14.767890410958904,5.584106389009922
2006-10-01,COS,8.656027397260276,2.114525340786842
2007-10-01,COS,6.670928961748636,2.467099946975074
2008-10-01,COS,5.974602739726035,2.139790522892498
2009-10-01,COS,1.5864383561643831,3.5803987015779435
2010-10-01,COS,4.929123287671232,3.373716165851158
2011-10-01,COS,4.356174863387978,3.698949737947194
2012-10-01,COS,4.339287671232876,4.81557586585085
2013-10-01,COS,5.049945205479456,2.4107789077483233
2014-10-01,COS,6.621506849315065,1.4479482179444803
2015-10-01,COS,6.134890710382509,3.1116350569674944
2016-10-01,COS,7.893726027397261,3.5908228313370576
2017-10-01,COS,7.122986301369865,2.4457658213959172
2018-10-01,COS,6.6466301369863,2.589863140274589
2019-10-01,COS,7.627759562841537,2.8599277521488067
2020-10-01,COS,8.734328767123293,3.1287415230390696
2021-10-01,COS,7.688684931506855,3.0355317838722495
2022-10-01,COS,8.437260273972598,3.8869663374468617
2006-10-01,CYB,12.835150684931504,5.024093411388016
2007-10-01,CYB,10.632677595628422,5.04901004157053
2008-10-01,CYB,11.959506849315074,6.159432842636356
2009-10-01,CYB,13.853452054794534,7.421256863577407
2010-10-01,CYB,12.10575342465754,5.977983442427268
2011-10-01,CYB,14.296639344262287,3.960346866776667
2012-10-01,CYB,13.599917808219166,4.873822736841098
2013-10-01,CYB,11.292191780821922,4.2071055953697645
2014-10-01,CYB,11.39580821917808,3.0331481336198745
2015-10-01,CYB,12.835,3.215861012978404
2016-10-01,CYB,10.704191780821908,2.962596261975447
2017-10-01,CYB,9.871095890410961,3.949853092846043
2018-10-01,CYB,11.411260273972607,2.9246960113821063
2019-10-01,CYB,9.857349726775967,2.9873216708327863
2020-10-01,CYB,9.460520547945212,2.917331028985365
2021-10-01,CYB,8.290794520547943,3.9819233954764215
2022-10-01,CYB,10.253616438356167,4.759731277130905
2006-10-01,CYC,17.471671232876705,6.267959006837532
2007-10-01,CYC,15.484262295081956,6.583605738711423
2008-10-01,CYC,16.435205479452065,6.326839764050384
2009-10-01,CYC,16.18819178082192,7.544652244510118
2010-10-01,CYC,14.756876712328765,5.860768439530047
2011-10-01,CYC,14.85437158469946,4.853179668184906
2012-10-01,CYC,16.320684931506854,5.625821631999564
2013-10-01,CYC,15.234602739726025,6.117877529003226
2014-10-01,CYC,16.66476712328765,4.490851416254263
2015-10-01,CYC,17.32620218579235,4.583468693371701
2016-10-01,CYC,14.057726027397262,6.178416528840832
2017-10-01,CYC,12.164219178082195,4.166630949377732
2018-10-01,CYC,14.10698630136985,4.635698225243594
2019-10-01,CYC,13.70254098360656,4.558931242479775
2020-10-01,CYC,13.251205479452072,6.009671159383475
2021-10-01,CYC,11.987863013698636,4.476210418027479
2022-10-01,CYC,11.841506849315062,5.860876915417419
2006-10-01,EDW,12.803260273972594,4.432094864831157
2007-10-01,EDW,13.074207650273221,3.5717630504094284
2008-10-01,EDW,16.324712328767127,5.497938248625496
2009-10-01,EDW,11.462904109589038,4.19121206525567
2010-10-01,EDW,10.621561643835614,4.380894399706761
2011-10-01,EDW,13.85612021857923,5.2084822522314145
2012-10-01,EDW,9.990109589041094,4.382286897214261
2013-10-01,EDW,7.723890410958902,6.483824352164052
2014-10-01,EDW,10.42369863013699,1.347512265076289
2015-10-01,EDW,11.325054644808754,2.136855806256307
2016-10-01,EDW,13.543013698630144,4.026175988512063
2017-10-01,EDW,11.480438356164381,3.7650189096117055
2018-10-01,EDW,14.801835616438359,4.205812131704095
2019-10-01,EDW,16.36994535519126,3.518747753168799
2020-10-01,EDW,12.377671232876708,4.420011225356184
2021-10-01,EDW,11.432739726027387,5.769147303124489
2022-10-01,EDW,12.36517808219178,2.684080005596252
2006-10-01,MRB,8.008219178082191,3.2206514862345847
2007-10-01,MRB,6.535054644808739,4.678431404644592
2008-10-01,MRB,10.413041095890406,9.428492025778805
2009-10-01,MRB,4.253906849315073,5.800530239317192
2010-10-01,MRB,8.597095890410957,3.4196477075974516
2011-10-01,MRB,8.369234972677598,5.650224140491
2012-10-01,MRB,7.57583561643835,6.012640775381729
2013-10-01,MRB,7.628356164383555,3.5551961715007367
2014-10-01,MRB,5.273315068493152,2.510965998150055
2015-10-01,MRB,5.6472404371584695,3.9978685118350286
2016-10-01,MRB,8.19139726027397,3.287214570986611
2017-10-01,MRB,7.769643835616433,3.0876823938200455
2018-10-01,MRB,8.122164383561644,2.3367088425094957
2019-10-01,MRB,6.970683060109294,2.8243112528010355
2020-10-01,MRB,7.461534246575345,3.9499898250049363
2021-10-01,MRB,4.855424657534251,2.8891766856353494
2022-10-01,MRB,7.610794520547948,3.4767174859187064
