Wellfield,Date,WF_Pumpage,StdPumpage,PctOfCWUP,StdPctOfCWUP,RA Period
CBR,2006-10-01,12.577741935483871,1.7027188252466867,11.484493780007433,1.2761912334090404,
CBR,2006-11-01,16.085,5.708107814993168,14.485656440689038,2.575575109681079,
CBR,2006-12-01,13.957096774193547,3.1058151839717154,13.597662841791088,2.3763192033064398,
CBR,2007-01-01,18.294516129032257,8.19641988460397,17.444069016148344,4.2556940027904036,
CBR,2007-02-01,15.779642857142855,7.588128877906921,16.07490467901523,3.5204764346610227,
CBR,2007-03-01,14.660967741935485,4.324229684648054,13.761538105717843,2.0232842519466283,
CBR,2007-04-01,18.09333333333333,4.650435154524452,14.33720406067379,2.425312673544481,
CBR,2007-05-01,15.865161290322579,2.948093023145359,10.88544257131439,1.5531069479020756,
CBR,2007-06-01,14.299333333333333,2.584713594930027,12.670740584711064,1.9424780585041046,
CBR,2007-07-01,13.849677419354839,2.7889502013851777,12.07662288504562,1.7376808057922604,
CBR,2007-08-01,16.827419354838714,2.9341528791594027,13.725628655553411,1.3824130115495685,
CBR,2007-09-01,17.062666666666665,3.373268069878882,14.149076521622117,1.928873461708156,
CBR,2007-10-01,15.891935483870968,3.0807049186345146,14.583355786606644,1.580882056250204,RA First SixYrs
CBR,2007-11-01,17.927333333333333,3.621086647091873,15.128179683160537,3.1351559382130767,RA First SixYrs
CBR,2007-12-01,25.704193548387096,8.673525532405517,18.97284935592153,4.183941070402206,RA First SixYrs
CBR,2008-01-01,16.9041935483871,4.0994688877085235,17.398394457985702,3.5093217624481365,RA First SixYrs
CBR,2008-02-01,14.6948275862069,6.061123552544671,17.726753290553845,3.3472132954960903,RA First SixYrs
CBR,2008-03-01,11.11,2.7897801586027065,16.104520839162685,2.4175009753709618,RA First SixYrs
CBR,2008-04-01,13.875666666666664,3.040561068157568,19.049382876145934,2.699325836892375,RA First SixYrs
CBR,2008-05-01,15.53709677419355,3.9177571760284664,17.22855615797669,2.9330659597362496,RA First SixYrs
CBR,2008-06-01,14.496333333333332,5.130910037809269,15.094748980684308,3.037070505081218,RA First SixYrs
CBR,2008-07-01,16.536129032258064,7.789820570213989,18.065993001980015,3.8207581411676395,RA First SixYrs
CBR,2008-08-01,13.609032258064516,4.3057537898636005,18.704683193849185,3.20399306642088,RA First SixYrs
CBR,2008-09-01,18.064333333333334,4.990711844280701,18.626189644540204,2.991540955602433,RA First SixYrs
CBR,2008-10-01,15.181290322580645,3.5853188997498124,17.53764163736524,2.2488190288578807,RA First SixYrs
CBR,2008-11-01,17.319,2.3703955002459574,17.110689678581345,1.8168216633351373,RA First SixYrs
CBR,2008-12-01,17.562580645161287,5.093562582804537,18.06344535169014,4.615437906740367,RA First SixYrs
CBR,2009-01-01,17.835806451612907,2.8808688205627013,16.297472695515,2.0657363593502915,RA First SixYrs
CBR,2009-02-01,17.467142857142857,5.119077504527016,15.361419508245211,2.2418517498543538,RA First SixYrs
CBR,2009-03-01,17.113548387096774,3.6737506251668655,11.981133292920264,2.375193860077544,RA First SixYrs
CBR,2009-04-01,15.012666666666666,3.48656429378732,10.910568895972908,1.9054263259693298,RA First SixYrs
CBR,2009-05-01,14.871935483870967,4.382534593402046,12.217585971612582,2.2208694566839777,RA First SixYrs
CBR,2009-06-01,14.973,3.0777366852036483,23.95991259084278,4.395739226722508,RA First SixYrs
CBR,2009-07-01,13.285161290322582,2.7863834038262265,21.970301129149593,2.8879331185334736,RA First SixYrs
CBR,2009-08-01,13.118709677419353,2.7882811215699324,22.30945628774216,2.570933386750295,RA First SixYrs
CBR,2009-09-01,13.741333333333332,3.6336499492965713,23.803855215638077,4.646551552762131,RA First SixYrs
CBR,2009-10-01,16.500645161290326,4.806571151721268,23.253166603608907,4.269441652832927,RA First SixYrs
CBR,2009-11-01,14.136666666666667,5.7213853719805225,21.209755741126248,7.6300708070477565,RA First SixYrs
CBR,2009-12-01,12.105483870967745,4.305066657408587,27.90419278009891,9.804054843745638,RA First SixYrs
CBR,2010-01-01,13.84290322580645,5.675604633604185,24.244065738635854,7.216926954101058,RA First SixYrs
CBR,2010-02-01,12.02607142857143,2.651384459157989,19.068776171153132,1.7094874571701826,RA First SixYrs
CBR,2010-03-01,12.836129032258064,3.768370715503237,13.98157445623771,3.872316551372177,RA First SixYrs
CBR,2010-04-01,11.418000000000001,1.6434014347876325,13.389824556960937,1.529406013797183,RA First SixYrs
CBR,2010-05-01,13.585483870967744,2.5615136654065447,12.765843340687052,1.9493886501607316,RA First SixYrs
CBR,2010-06-01,19.610999999999997,8.459234639709154,18.500367986883287,5.602296041063135,RA First SixYrs
CBR,2010-07-01,16.258709677419354,3.3550894095741475,16.941294389343206,3.539295046373073,RA First SixYrs
CBR,2010-08-01,12.79193548387097,6.123656543468576,13.219729289851092,5.9709704615490145,RA First SixYrs
CBR,2010-09-01,12.124999999999998,2.133854776430799,16.76208844670715,3.619294296735308,RA First SixYrs
CBR,2010-10-01,13.193548387096778,3.5034340756721254,18.32041100623532,5.674034852941572,RA First SixYrs
CBR,2010-11-01,7.676333333333333,4.6483771608901385,9.426788313624947,5.3508181847289835,RA First SixYrs
CBR,2010-12-01,11.983870967741934,3.0499898113702644,11.861509432200583,1.932242668657323,RA First SixYrs
CBR,2011-01-01,11.625483870967741,1.7796906823184557,16.801266886349527,4.517712623989094,RA First SixYrs
CBR,2011-02-01,13.183214285714284,3.193762501399253,19.710795372315964,4.551197981706904,RA First SixYrs
CBR,2011-03-01,12.545161290322582,3.162644327107449,17.213842760824896,4.3837501789717415,RA First SixYrs
CBR,2011-04-01,13.065333333333333,2.8875902533538893,17.734364003732967,5.02797465978702,RA First SixYrs
CBR,2011-05-01,11.927741935483873,2.1589993201750057,12.512641867168291,1.6047120625541,RA First SixYrs
CBR,2011-06-01,12.962333333333335,2.4013439962874346,12.796652657618639,1.785357585418996,RA First SixYrs
CBR,2011-07-01,12.301612903225804,2.960683588603828,14.909431951708267,2.916067544277785,RA First SixYrs
CBR,2011-08-01,12.385483870967743,2.1103788581037097,16.314357497136367,2.271942030410851,RA First SixYrs
CBR,2011-09-01,12.802666666666664,2.183513355744069,15.009822951613438,1.9319813316827792,RA First SixYrs
CBR,2011-10-01,12.09032258064516,1.9266698106161804,15.608866811211964,1.8237021152458748,RA First SixYrs
CBR,2011-11-01,12.408666666666669,2.46679707639115,16.76524403249453,2.585749876966309,RA First SixYrs
CBR,2011-12-01,12.975161290322582,1.534865620540845,18.67989479796694,1.2036134773125162,RA First SixYrs
CBR,2012-01-01,12.419999999999998,1.7384130694400846,18.223371859019558,1.621707833210671,RA First SixYrs
CBR,2012-02-01,13.593793103448277,2.662469870779354,19.464161632439097,2.382140755248513,RA First SixYrs
CBR,2012-03-01,15.689032258064518,2.306502915438139,18.188792243090504,2.406844717006055,RA First SixYrs
CBR,2012-04-01,18.878999999999998,4.81373992535592,15.484751625877012,2.7988089552330018,RA First SixYrs
CBR,2012-05-01,22.395483870967745,3.5113822906937635,15.283947042150267,1.5408655231863393,RA First SixYrs
CBR,2012-06-01,14.276333333333334,4.534299537839395,14.186834569772563,3.8279722362960404,RA First SixYrs
CBR,2012-07-01,14.353870967741939,4.315845747490169,22.81735924925252,4.645994529485769,RA First SixYrs
CBR,2012-08-01,14.56548387096774,3.1407736188288444,25.934180755212843,3.1415248882970666,RA First SixYrs
CBR,2012-09-01,12.566333333333334,2.75737441747778,21.1829628203718,2.5932340268739393,RA First SixYrs
CBR,2012-10-01,14.559354838709682,2.8589006459171844,23.37218939254742,2.2743966871322683,RA First SixYrs
CBR,2012-11-01,11.322666666666665,1.585614062129566,20.50641967752408,1.598214581634719,RA First SixYrs
CBR,2012-12-01,11.749999999999998,2.600196146447425,19.270058861705177,3.859389387747252,RA First SixYrs
CBR,2013-01-01,13.226774193548387,2.4907862039883155,15.111793606697349,2.660476761235957,RA First SixYrs
CBR,2013-02-01,12.156071428571428,1.8334350260396512,11.588662497683487,1.6103479697837757,RA First SixYrs
CBR,2013-03-01,13.016774193548386,1.9048786262240387,11.232052139177318,1.3883358371375905,RA First SixYrs
CBR,2013-04-01,14.200666666666669,2.203947764155586,12.120969959672335,1.7873314065282853,RA First SixYrs
CBR,2013-05-01,16.706451612903226,3.654387817758349,13.729879973268487,1.9178975934146187,RA First SixYrs
CBR,2013-06-01,13.487333333333332,1.9941724293954644,14.856644030853532,2.0218911321577906,RA First SixYrs
CBR,2013-07-01,11.232903225806453,1.8191723274580744,23.453150875430637,2.8283898027971053,RA First SixYrs
CBR,2013-08-01,11.691935483870967,3.6719798650091073,22.553154894948996,6.4609402782117185,RA First SixYrs
CBR,2013-09-01,14.837999999999997,2.994017483191305,28.29662936105002,3.8410571481907168,RA First SixYrs
CBR,2013-10-01,16.00774193548387,2.797765429382773,26.700177853161694,3.3587117872748937,RA Last SixYrs
CBR,2013-11-01,17.346999999999994,4.002585500605246,20.15309046221802,3.5509176818308577,RA Last SixYrs
CBR,2013-12-01,16.305806451612906,3.1099901116601005,19.709112681541228,2.8037181579384636,RA Last SixYrs
CBR,2014-01-01,13.023225806451613,3.1733151824727113,18.097565242381044,3.6319939742862495,RA Last SixYrs
CBR,2014-02-01,12.096785714285716,2.845180530067857,17.053622179586853,3.4243154475642834,RA Last SixYrs
CBR,2014-03-01,11.589354838709678,3.336660941204407,16.409274511813827,2.1502744681424626,RA Last SixYrs
CBR,2014-04-01,14.453000000000001,5.329619996805104,18.660409996857734,3.1447830326836765,RA Last SixYrs
CBR,2014-05-01,15.193870967741937,3.1012961563614536,17.372669039569825,3.8242890203331172,RA Last SixYrs
CBR,2014-06-01,13.44166666666667,3.0749051943146006,14.67870633238648,1.6829442558487746,RA Last SixYrs
CBR,2014-07-01,12.934516129032263,2.664572309283006,19.214241437315028,4.597872657132426,RA Last SixYrs
CBR,2014-08-01,13.68774193548387,2.997913396211241,21.13482090564803,2.5327463467586564,RA Last SixYrs
CBR,2014-09-01,11.477,2.111032024128608,20.267173078982065,2.3459426922902145,RA Last SixYrs
CBR,2014-10-01,14.899032258064514,3.3786756328860763,20.581507088743717,2.3019680565425618,RA Last SixYrs
CBR,2014-11-01,14.668000000000003,2.800971998776666,16.239408878928035,2.22448872067934,RA Last SixYrs
CBR,2014-12-01,12.103548387096772,1.8879186924355074,15.861831045336416,1.2764891700445578,RA Last SixYrs
CBR,2015-01-01,13.871935483870967,1.9191498453826712,16.849147246241056,1.5241708133883434,RA Last SixYrs
CBR,2015-02-01,13.383214285714287,1.7634269111305607,15.681843567425798,1.3479253316160744,RA Last SixYrs
CBR,2015-03-01,14.730322580645163,2.09993251299649,16.501431310906803,1.2638027677446957,RA Last SixYrs
CBR,2015-04-01,16.697999999999997,2.8467869365424985,17.790575107894323,2.5204800923477864,RA Last SixYrs
CBR,2015-05-01,15.13,2.7785895702676244,16.965239008767323,2.7629230855885605,RA Last SixYrs
CBR,2015-06-01,11.211333333333332,1.4161086392508446,13.286212324152512,1.3515533743557635,RA Last SixYrs
CBR,2015-07-01,10.944516129032259,1.807788407068466,15.557855986507644,2.4653348906865546,RA Last SixYrs
CBR,2015-08-01,13.160322580645163,2.172047396461016,19.371095132458528,1.8194304393699123,RA Last SixYrs
CBR,2015-09-01,13.826333333333334,3.2227868464220895,20.5312056527632,3.1164096449165184,RA Last SixYrs
CBR,2015-10-01,14.789354838709677,2.837660932862232,19.325286994744207,2.766829412320823,RA Last SixYrs
CBR,2015-11-01,15.067666666666664,2.6018755613560183,18.374710263543626,2.5273870125259306,RA Last SixYrs
CBR,2015-12-01,18.177096774193547,2.7473977913028693,19.641816217391366,2.0314989185716734,RA Last SixYrs
CBR,2016-01-01,13.389032258064516,2.3268352682541598,17.547604973049626,1.9438133823837034,RA Last SixYrs
CBR,2016-02-01,14.00241379310345,2.734885287712401,17.867033547192356,2.7133519252484706,RA Last SixYrs
CBR,2016-03-01,17.276451612903223,2.500412697119011,19.689669033862792,2.1235321239659215,RA Last SixYrs
CBR,2016-04-01,19.764333333333333,2.9105736883649547,22.229681564116298,1.8708461776774346,RA Last SixYrs
CBR,2016-05-01,12.680322580645166,3.224558351021058,16.72280979000824,2.573177745607277,RA Last SixYrs
CBR,2016-06-01,12.068333333333333,2.4738830058102548,15.896942605618698,1.95543222887196,RA Last SixYrs
CBR,2016-07-01,12.502258064516129,3.225997220165586,16.442991463532294,3.4754532330107204,RA Last SixYrs
CBR,2016-08-01,12.22,2.1615041059410562,19.140648283622333,2.133619087513644,RA Last SixYrs
CBR,2016-09-01,14.331666666666667,2.9280252063797922,20.81808698729721,2.473611732020943,RA Last SixYrs
CBR,2016-10-01,17.120322580645166,2.8361270350849286,21.714756477829795,1.518167826411928,RA Last SixYrs
CBR,2016-11-01,17.295333333333335,3.304409523477769,19.29510766993817,3.8708848610932436,RA Last SixYrs
CBR,2016-12-01,12.241935483870968,2.7426901870910636,14.488631928393861,2.609753342381784,RA Last SixYrs
CBR,2017-01-01,12.41806451612903,2.5056568258706764,13.966294585550886,1.772325803782775,RA Last SixYrs
CBR,2017-02-01,10.570714285714287,2.7708254266506116,12.639568674018594,2.2706766268822616,RA Last SixYrs
