PointName,SCADAName,Date,AnnAvgPP
CRW004,CAR-1,2020-01-01,0.029289617486338803
CRW004,CAR-1,2021-01-01,0.00032876712328767124
CRW004,CAR-1,2022-01-01,5.479452054794521E-05
CRW004,CAR-1,2023-01-01,0.04327472527472527
CRW003,CAR-2,2006-01-01,0
CRW003,CAR-2,2007-01-01,0.0020547945205479463
CRW003,CAR-2,2008-01-01,0.17303278688524587
CRW003,CAR-2,2009-01-01,0.1032054794520548
CRW003,CAR-2,2010-01-01,0.19126027397260276
CRW003,CAR-2,2011-01-01,0.18435616438356167
CRW003,CAR-2,2012-01-01,0.09617486338797816
CRW003,CAR-2,2013-01-01,0.11408219178082192
CRW003,CAR-2,2014-01-01,0.0913972602739726
CRW003,CAR-2,2015-01-01,0.06545205479452057
CRW003,CAR-2,2016-01-01,0.011803278688524588
CRW003,CAR-2,2017-01-01,0.025890410958904108
CRW003,CAR-2,2018-01-01,0.0006575342465753425
CRW003,CAR-2,2019-01-01,0.003534246575342466
CRW003,CAR-2,2020-01-01,0.03019125683060109
CRW003,CAR-2,2021-01-01,0.0001917808219178082
CRW003,CAR-2,2022-01-01,0.00010958904109589041
CRW003,CAR-2,2023-01-01,0.055347985347985344
CRW002,CAR-3,2006-01-01,0
CRW002,CAR-3,2007-01-01,0.006273972602739724
CRW002,CAR-3,2008-01-01,0.14885245901639343
CRW002,CAR-3,2009-01-01,0.24772602739726027
CRW002,CAR-3,2010-01-01,0.24117808219178077
CRW002,CAR-3,2011-01-01,0.22356164383561639
CRW002,CAR-3,2012-01-01,0.17497267759562843
CRW002,CAR-3,2013-01-01,0.13482191780821912
CRW002,CAR-3,2014-01-01,0.1406849315068493
CRW002,CAR-3,2015-01-01,0.09676712328767123
CRW002,CAR-3,2016-01-01,0.01762295081967213
CRW002,CAR-3,2017-01-01,0.04246575342465753
CRW002,CAR-3,2018-01-01,0.014602739726027398
CRW002,CAR-3,2019-01-01,0.00021917808219178083
CRW002,CAR-3,2020-01-01,0.004918032786885246
CRW002,CAR-3,2021-01-01,0.00027397260273972606
CRW002,CAR-3,2022-01-01,0.00016438356164383562
CRW002,CAR-3,2023-01-01,0.05117216117216117
CBR001,CB-01,2006-01-01,0.30597826086956526
CBR001,CB-01,2007-01-01,0.2745205479452055
CBR001,CB-01,2008-01-01,0.2917759562841528
CBR001,CB-01,2009-01-01,0.17084931506849313
CBR001,CB-01,2010-01-01,0.0589041095890411
CBR001,CB-01,2011-01-01,0.06306849315068493
CBR001,CB-01,2012-01-01,0.08032786885245902
CBR001,CB-01,2013-01-01,0.04953424657534246
CBR001,CB-01,2014-01-01,0.0246027397260274
CBR001,CB-01,2015-01-01,0.020712328767123287
CBR001,CB-01,2016-01-01,0.04467213114754099
CBR001,CB-01,2017-01-01,0.0009589041095890412
CBR001,CB-01,2018-01-01,0.0030684931506849314
CBR001,CB-01,2019-01-01,0.0021095890410958904
CBR001,CB-01,2020-01-01,0.002650273224043716
CBR001,CB-01,2021-01-01,0.0014794520547945207
CBR001,CB-01,2022-01-01,0.30816438356164383
CBR001,CB-01,2023-01-01,0.6867765567765569
CBR002,CB-02,2006-01-01,0.3194565217391305
CBR002,CB-02,2007-01-01,0.3030958904109589
CBR002,CB-02,2008-01-01,0.29795081967213105
