Date,WtedAvgAnRain,AnnAvgPP
2016-01-01,56.15765945571439,102.53601092896176
2013-01-01,49.96880884590117,108.1234794520548
2014-01-01,59.412478498683285,94.07241095890411
2010-01-01,50.20349185965398,110.65409863013699
2018-01-01,65.26513652781082,109.15095890410957
2006-01-01,42.073514744924985,136.59130434782608
2019-01-01,60.72049969776308,111.46482191780822
2012-01-01,54.59696592965726,102.4207213114754
2011-01-01,54.85627983236295,105.48767123287669
2009-01-01,52.9995750869131,113.87410958904107
2007-01-01,44.03217992432776,142.1135890410959
2017-01-01,54.888511798496985,108.68953424657533
2015-01-01,58.04831514152281,103.73876712328769
2008-01-01,46.99173117648966,107.77117486338798
